                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                  1.288,                0.91847,                 1.0764,                0.54829,                0.33333,                0.32043,                  0.183,                 2.0143,                 2.4446,                 1.5279,              0.0016086,              0.0016086,              0.0016086
                     46,                 1.3345,                0.96817,                 1.0891,                0.67307,                0.34921,                0.36963,                0.18064,                 2.1151,                 2.2575,                 1.5218,              0.0015919,              0.0015919,              0.0015919
                     47,                 1.4625,                 1.0062,                 1.1172,                0.59243,                0.33333,                0.34107,                 0.1717,                 2.2194,                  2.217,                 1.5983,               0.001575,               0.001575,               0.001575
                     48,                 1.2673,                0.90856,                 1.0494,                0.73763,                0.35713,                0.40312,                0.22145,                 2.1082,                 2.2538,                 1.5794,              0.0015579,              0.0015579,              0.0015579
                     49,                 1.2632,                0.89685,                 1.0647,                0.56726,                0.38095,                0.39745,                0.19839,                 2.1738,                 2.2665,                 1.5955,              0.0015405,              0.0015405,              0.0015405
                     50,                 1.3337,                0.96513,                 1.0498,                0.41389,                0.34921,                0.36701,                0.20205,                  2.271,                 2.1178,                  1.663,              0.0015228,              0.0015228,              0.0015228
                     51,                 1.3135,                0.94929,                 1.0855,                0.63316,                0.31746,                0.36879,                0.17991,                 2.3086,                 2.1557,                 1.6897,               0.001505,               0.001505,               0.001505
                     52,                 1.3023,                 0.9453,                 1.0898,                0.56131,                0.38095,                0.38674,                0.18428,                 2.1678,                 1.9418,                 1.6035,              0.0014869,              0.0014869,              0.0014869
                     53,                 1.3021,                0.94967,                 1.0874,                0.54585,                0.38095,                0.38394,                0.19601,                 2.2174,                 2.1996,                 1.6789,              0.0014687,              0.0014687,              0.0014687
                     54,                 1.2566,                0.90305,                 1.0535,                0.71622,                0.33333,                0.39922,                0.18434,                 2.2339,                 2.2911,                 1.6382,              0.0014502,              0.0014502,              0.0014502
                     55,                 1.3032,                0.92818,                 1.0959,                 0.7156,                0.38095,                0.39029,                0.18471,                 2.1978,                 2.3824,                 1.5789,              0.0014315,              0.0014315,              0.0014315
                     56,                 1.2413,                0.88537,                 1.0487,                0.45899,                 0.4127,                0.38083,                0.20424,                 2.0388,                 2.0615,                 1.5317,              0.0014127,              0.0014127,              0.0014127
                     57,                 1.2262,                0.85795,                 1.0456,                 0.6131,                0.37737,                0.38243,                0.19269,                 2.0462,                 2.2224,                 1.5395,              0.0013936,              0.0013936,              0.0013936
                     58,                 1.2782,                 0.8805,                 1.0499,                0.61201,                0.40067,                 0.3775,                0.17959,                 2.1245,                 2.2093,                 1.5681,              0.0013744,              0.0013744,              0.0013744
                     59,                 1.2124,                0.81301,                 1.0569,                0.71425,                0.38095,                0.38319,                0.19752,                 2.2399,                 2.1416,                 1.6402,              0.0013551,              0.0013551,              0.0013551
                     60,                 1.2631,                0.86034,                 1.0287,                 0.6486,                 0.4127,                0.38874,                0.18133,                 2.3078,                 1.8878,                 1.6593,              0.0013356,              0.0013356,              0.0013356
                     61,                 1.1477,                0.78925,                 1.0202,                0.63295,                0.36508,                0.36888,                0.17636,                 2.3444,                 2.1389,                 1.6473,              0.0013159,              0.0013159,              0.0013159
                     62,                 1.1968,                0.82434,                  1.032,                0.56966,                0.34921,                0.33549,                 0.1714,                 2.3711,                  2.407,                 1.6838,              0.0012961,              0.0012961,              0.0012961
                     63,                 1.1858,                0.81214,                 1.0237,                0.73026,                0.30084,                0.34287,                0.16864,                 2.3915,                 2.5394,                 1.7071,              0.0012762,              0.0012762,              0.0012762
